"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3090000","2007","281 ","20070810","20071008","청어진 동태찜","서울특별시 도봉구 도봉로150길 28 (방학동지상1층)","서울특별시 도봉구 방학동  715번지  지상1층","3090000-101-2005-00298","한식","동태찜","96.12","방학제1동","","02 9551554"
"3090000","2008","0004","20080619","20080717","양주큰집전통순대국","서울특별시 도봉구 방학로6길 32 (방학동)","서울특별시 도봉구 방학동  697번지 1호  ","3090000-101-1995-04059","한식","순대국","55.08","방학제1동","상수도전용","0234931110"
"3090000","2010","0004","20100701","20100903","순두부마을","서울특별시 도봉구 마들로 650 (방학동도봉월드 206호)","서울특별시 도봉구 방학동  720번지 33호  도봉월드 206호","3090000-101-2007-00195","한식","","97.12","방학제1동","상수도전용","02  956 7887"
"3090000","2002","0078","20020711","20020711","토영자갈치곰장어","서울특별시 도봉구 노해로69길 15 (창동세정빌딩 107108109호(지상1층))","서울특별시 도봉구 창동  10번지 3호  세정빌딩 107108109호(지상1층)","3090000-101-1991-03662","한식","소고기국밥","92.83","창제4동","상수도전용","02 9992588"
"3090000","2002","0083","20020711","20020711","강북민물장어","서울특별시 도봉구 노해로69길 25 1층 (창동)","서울특별시 도봉구 창동  13번지 3호  ","3090000-101-1996-03671","한식","장어정식","96.15","창제4동","상수도전용","02 9062921"
"3090000","2002","0085","20020711","20020711","남원추어탕","서울특별시 도봉구 노해로67길 10 1층 103호 (창동 하나B/D)","서울특별시 도봉구 창동  8번지 1호  ","3090000-101-1996-01687","한식","추어탕","73.87","창제4동","상수도전용","02 9082274"
"3090000","2007","265 ","20070402","20070417","백제갈비촌","서울특별시 도봉구 노해로69길 15 101102103104호 (창동 세정빌딩)","서울특별시 도봉구 창동  10번지 3호  세정빌딩 101102103104호","3090000-101-2005-00269","식육(숯불구이)","감자탕","123.93","창제4동","상수도전용","02 9081909"
"3090000","2002","0049","20020709","20020711","송림각","서울특별시 도봉구 방학로 223 (방학동신동아상가)","서울특별시 도봉구 방학동  271번지 2호  신동아상가","3090000-101-1989-01650","중국식","탕수육","107.37","방학제3동","상수도전용","0234913334"
"3090000","2010","0003","20100701","20100903","갑식이네착한낙지","서울특별시 도봉구 도봉로150길 43 (방학동 ESA단지 상가 136.137.138호)","서울특별시 도봉구 방학동  716번지 5호  ESA단지 상가 136.137.138호","3090000-101-2003-00329","한식","","173.92","방학제1동","상수도전용","02  33925572"
"3090000","2010","0003","20100701","20100903","갑식이네착한낙지","서울특별시 도봉구 도봉로150길 43 (방학동 ESA단지 상가 136.137.138호)","서울특별시 도봉구 방학동  716번지 5호  ESA단지 상가 136.137.138호","3090000-101-2003-00329","한식","","173.92","방학제1동","상수도전용","02  33925572"
