"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3190000","2017","0002","20170922","20171116","김종구참치박사","서울특별시 동작구 동작대로 25-1 (사당동 1층)","서울특별시 동작구 사당동  1031번지 21호  1층","3190000-101-2013-00226","일식","회","160.80","사당제1동","상수도전용","02  523 9261"
"3190000","2017","0003","20170922","20171116","구름산추어탕","서울특별시 동작구 성대로1길 22 지상1층 (상도동)","서울특별시 동작구 상도동  242번지 78호  ","3190000-101-2016-00170","한식","추어탕","136.71","상도제4동","상수도전용","02  822 2719"
"3190000","2013","0023","20131223","20131213","어촌","서울특별시 동작구 상도로 122 (상도동 1층)","서울특별시 동작구 상도동  355번지 8호  1층","3190000-101-2013-00110","한식","생선구이","168.70","상도제4동","상수도전용","02  815 4715"
"3190000","2013","0029","20131223","20131213","대방회집","서울특별시 동작구 여의대방로 134-1 (대방동)","서울특별시 동작구 대방동  417번지 2호  ","3190000-101-2010-00059","일식","회","80.78","대방동","상수도전용","02 8231949"
"3190000","2013","0032","20131223","20131213","큰솥설렁탕","서울특별시 동작구 흑석로 102 B101-2호 (흑석동중대병원)","서울특별시 동작구 흑석동  224번지 1호  중대병원-B101-2","3190000-101-2011-00114","한식","설렁탕","208.43","흑석동","","02822 6687"
"3190000","2003","0011","20030925","20031009","뽕닭","서울특별시 동작구 사당로30길 154 (사당동)","서울특별시 동작구 사당동  1041번지 28호  ","3190000-101-2002-00393","한식","닭갈비","90.16","사당제1동","상수도전용","02 5229293"
"3190000","2003","0011","20030925","20031009","뽕닭","서울특별시 동작구 사당로30길 154 (사당동)","서울특별시 동작구 사당동  1041번지 28호  ","3190000-101-2002-00393","한식","닭갈비","90.16","사당제1동","상수도전용","02 5229293"
"3190000","2003","0011","20030925","20031009","푸드100","서울특별시 동작구 사당로30길 154 (사당동)","서울특별시 동작구 사당동  1041번지 28호  ","3190000-101-2002-00393","한식","닭갈비","90.16","사당제1동","상수도전용","02 5229293"
"3190000","2003","0011","20030925","20031009","푸드100","서울특별시 동작구 사당로30길 154 (사당동)","서울특별시 동작구 사당동  1041번지 28호  ","3190000-101-2002-00393","한식","닭갈비","90.16","사당제1동","상수도전용","02 5229293"
"3190000","2015","0007","20151030","20151210","마실","서울특별시 동작구 사당로 215 제1층 제115116117118호 (사당동)","서울특별시 동작구 사당동  252번지 17호  ","3190000-101-2011-00074","한식","백반","209.00","사당제3동","상수도전용","02  596 5260"
"3190000","2007","0019","20071210","20071210","낙지랑꽃게랑","서울특별시 동작구 양녕로25길 2-4 (상도동)","서울특별시 동작구 상도동  209번지 16호  ","3190000-101-2004-00366","한식","한식(해물탕집)","111.91","상도제4동","상수도전용","02 8255700"
