"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3220000","2016","0152","20161125","20161125","진배족발","서울특별시 강남구 언주로173길 19 (신사동지상2층)","서울특별시 강남구 신사동  619번지 6호  지상2층","3220000-101-2008-00062","한식","족발","108.33","압구정동","상수도전용","02  34459211"
"3220000","2016","0152","20161125","20161125","진배족발","서울특별시 강남구 언주로173길 19 (신사동지상2층)","서울특별시 강남구 신사동  619번지 6호  지상2층","3220000-101-2008-00062","한식","족발","108.33","압구정동","상수도전용","02  34459211"
"3220000","2014","0160","20141006","20141006","이도곰탕","서울특별시 강남구 논현로94길 29-5 (역삼동지상1층)","서울특별시 강남구 역삼동  671번지 17호  지상1층","3220000-101-2001-24197","한식","곰탕","194.41","역삼1동","상수도전용","02 5010738"
"3220000","2014","0160","20141006","20141006","이도곰탕","서울특별시 강남구 논현로94길 29-5 지상1층지상2층 (역삼동)","서울특별시 강남구 역삼동  671번지 17호  ","3220000-101-2001-24197","한식","곰탕","194.41","역삼1동","상수도전용","02 5010738"
"3220000","2014","0160","20141006","20141006","이도곰탕","서울특별시 강남구 논현로94길 29-5 (역삼동지상1층)","서울특별시 강남구 역삼동  671번지 17호  지상1층","3220000-101-2001-24197","한식","곰탕","194.41","역삼1동","상수도전용","02 5010738"
"3220000","2014","0160","20141006","20141006","이도곰탕","서울특별시 강남구 논현로94길 29-5 지상1층지상2층 (역삼동)","서울특별시 강남구 역삼동  671번지 17호  ","3220000-101-2001-24197","한식","곰탕","194.41","역삼1동","상수도전용","02 5010738"
"3220000","2016","0185","20161125","20161125","청담 아불","서울특별시 강남구 압구정로79길 32 지상1층 101호 (청담동)","서울특별시 강남구 청담동  124번지 12호  ","3220000-101-2014-00974","한식","돼지고기","149.00","청담동","",""
"3220000","2010","0024","20100210","20100210","스시히로바","서울특별시 강남구 삼성로 620 1층 2층 (삼성동 블랙스톤리조트)","서울특별시 강남구 삼성동  70번지  ","3220000-101-2002-00383","일식","초밥","216.56","삼성1동","상수도전용","02 5155511"
"3220000","2010","0024","20100210","20100210","스시히로바","서울특별시 강남구 삼성로 620 블래스톤리조트 지상1층 (삼성동)","서울특별시 강남구 삼성동  70번지  블래스톤리조트","3220000-101-2002-00383","일식","초밥","216.56","삼성1동","상수도전용","02 5155511"
"3220000","2010","0024","20100210","20100210","스시히로바","서울특별시 강남구 삼성로 620 1층 2층 (삼성동 블랙스톤리조트)","서울특별시 강남구 삼성동  70번지  ","3220000-101-2002-00383","일식","초밥","216.56","삼성1동","상수도전용","02 5155511"
